"texto","area"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE REGISTRO DE PREÇOS. Ref. Proc. PMSC-098/24. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: O presente instrumento tem por objeto a Prestação de serviços limpeza e conservação para todos os departamentos da prefeitura, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 210.000,00.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. DISPENSA DE LICITAÇÃO. Ref. Proc. 112233/2023. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X TECNOLOGIA INTEGRADA LTDA. OBJETO: O presente instrumento tem por objeto a Aquisição de serviços de publicidade e propaganda institucional atendendo a Secretaria de Administração, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 1.250.000,00.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE TERMO ADITIVO. Ref. Proc. 2024/09812. PARTES: PREFEITURA MUNICIPAL X TECNOLOGIA INTEGRADA LTDA. OBJETO: O presente instrumento tem por objeto a Fornecimento de segurança patrimonial e vigilância atendendo a Secretaria de Administração, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 89.000,00.","Gestão Administrativa"
"INEXIGIBILIDADE DE LICITAÇÃO. PROCESSO INSTRUTIVO: 2023/00456. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e TECNOLOGIA INTEGRADA LTDA. OBJETO: Fornecimento de serviços de auditoria contábil para os servidores municipais. VALOR GLOBAL: R$ 15.400,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 16/05/2026.","Gestão Administrativa"
"INEXIGIBILIDADE DE LICITAÇÃO. PROCESSO INSTRUTIVO: 2024/09812. PARTES: FUNDO MUNICIPAL DE SAÚDE e VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: Fornecimento de móveis de escritório atendendo a Secretaria de Administração. VALOR GLOBAL: R$ 210.000,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 04/05/2026.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO. Processo Administrativo nº 2023/00456. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 96.000.000/0001-00. Objeto: Locação de segurança patrimonial e vigilância para manutenção das atividades administrativas contínuas. Valor Estimado: R$ 1.250.000,00, com base na art. 24, inciso II, da Lei nº 8.666/93.","Gestão Administrativa"
"DISPENSA DE LICITAÇÃO Nº 546/2024 - PROCESSO: 112233/2023. CONTRATANTE: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS. CONTRATADA: CONSTRUTORA ALPHA LTDA. OBJETO DO CONTRATO: Fornecimento de fornecimento de vales-alimentação para as dependências do paço municipal. VALOR: R$ 15.400,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"DISPENSA DE LICITAÇÃO Nº 407/2024 - PROCESSO: 2023/00456. CONTRATANTE: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS. CONTRATADA: TECNOLOGIA INTEGRADA LTDA. OBJETO DO CONTRATO: Prestação de serviços serviços de publicidade e propaganda institucional visando o regular funcionamento dos setores. VALOR: R$ 89.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE REGISTRO DE PREÇOS. Processo Administrativo nº 2023/00456. Reconheço e ratifico a contratação de COMERCIAL DE ALIMENTOS UNIÃO EIRELI, inscrita no CNPJ sob nº 94.000.000/0001-00. Objeto: Prestação de serviços serviços de publicidade e propaganda institucional para manutenção das atividades administrativas contínuas. Valor Estimado: R$ 15.400,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE TERMO ADITIVO. Processo Administrativo nº PM-882/2023. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 56.000.000/0001-00. Objeto: Prestação de serviços serviços de auditoria contábil para o centro administrativo municipal. Valor Estimado: R$ 210.000,00, com base na art. 25, caput, da Lei 8.666/93.","Gestão Administrativa"
